votacoes_senado,status_senado,link_senado,link_camara,-,-,-,votacoes_camara,status_camara,link_senado,link_camara
PL741-2021,sancionado,-,-,,,,PRC57-2021,aprovado,-,-
PL827-2020,aguarda promulgação,https://www25.senado.leg.br/web/atividade/materias/-/materia/148656,,,,,PEC125-2011-1t-DTQ,rejeitado,-,-
MPV1033-2021,sancionado,-,-,,,,PEC125-2011-1t,promulgada,-,-
MPV1031-2021,sancionado,-,-,,,,PEC125-2011-1t-DTQ-2,aprovado,-,-
PEC4-2021-1t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/147745,,,,,MPV1045-2021,tramita na Câmara,https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/148214,
PEC4-2021-2t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/147745,,,,,PEC135-2019-1t,rejeitado,-,-
PL1369-2019,sancionado,-,-,,,,PL591-2021,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149593,https://www.camara.leg.br/propostas-legislativas/2270894
PEC186-2019-2t,promulgada,-,-,,,,PL2633-2020,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149358,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2252589
PEC186-2019-1t,promulgada,-,-,,,,PLN3-2021,sancionado,-,-
PDC-861-2017-1t,sancionado,-,-,,,,PL827-2020-v,aguarda promulgação,https://www25.senado.leg.br/web/atividade/materias/-/materia/148656,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241695
PDC-861-2017-2t,sancionado,-,-,,,,PL5516-2019,sancionado,-,-
PDL510-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/145668,https://www.camara.leg.br/propostas-legislativas/2267889,,,,PDL292-2021,sancionado,-,-
VET33-2019,derrubado,-,-,,,,PL2646-2020,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149066,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2252649
PLP19-2019,sancionado,-,-,,,,PL12-2021,sancionado,-,-
PL3229-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/142442,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263268,,,,PL6330-2019,aprovado,-,-
MPV961-2020,sancionado,-,-,,,,PL4710-2020,tramita no Senado,,https://www.camara.leg.br/propostas-legislativas/2263290
PL3267-2020,sancionado,-,-,,,,PLP9-2021,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149497,https://www.camara.leg.br/propostas-legislativas/2268936
PEC26-2020-1t,promulgada,-,-,,,,MPV1031-2021-2,aprovado,-,-
PEC26-2020-2t,promulgada,-,-,,,,PL10887-2018,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/149081,
VET17-2020,mantido,-,-,,,,MPV1030-2021,sancionado,-,-
PL1166-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141297,https://www.camara.leg.br/propostas-legislativas/2262100,,,,MPV1028-2021,sancionado,-,-
MPV945-2020,sancionado,-,-,,,,MPV1034-2021,sancionado,-,-
MPV934-2020,sancionado,-,-,,,,MPV1031-2021,sancionado,-,-
MPV944-2020,sancionado,-,-,,,,PL827-2020,aguarda promulgação,https://www25.senado.leg.br/web/atividade/materias/-/materia/148656,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241695
MPV925-2020,sancionado,-,-,,,,PL3729-2004,tramita no Senado,,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=257161
MPV930-2020,sancionado,-,-,,,,PL948-2021,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/148011,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2274204
MPV931-2020,sancionado,-,-,,,,PEC186-2019-2t,promulgada,-,-
PL2630-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141944,https://www.camara.leg.br/propostas-legislativas/2256735,,,,PEC186-2019-1t,promulgada,-,-
PL4162-2019,sancionado,-,-,,,,CMC1-2021,aprovado,-,-
PEC18-2020-1t,promulgada,-,-,,,,PLP19-2019,sancionado,-,-
PEC18-2020-2t,promulgada,-,-,,,,PL4372-2020-D8,aprovado,-,-
MPV936-2020,sancionado,-,-,,,,PDC-861-2017-1t,sancionado,-,-
PL1562-2020,sancionado,-,-,,,,PDC-861-2017-2t,sancionado,-,-
PL6330-2019,aprovado,-,-,,,,VET26-33-2020,derrubado,-,-
